brand,condition,mode,exclude_flag,content-enjoyment,content-usefulness,production-complexity,production-quality,is-demanding,is-playlist,is-invented-brand,PC1,PC2,PC3,PC4,unaided,aided
a2a,demanding,linear,0,7.297025680541992,7.631387233734131,7.103477954864502,8.231107711791992,1,0,0,3.3327550662216217,0.17816395126401027,0.26754145560599224,0.2399202065289095,0.225,0.275
a2a,relaxed,linear,0,7.297025680541992,7.631387233734131,7.103477954864502,8.231107711791992,0,0,0,3.3327550662216217,0.17816395126401027,0.26754145560599224,0.2399202065289095,0.2571428571428571,0.34285714285714286
ace,demanding,linear,0,5.886321067810059,6.453404426574707,4.109527587890625,7.966639041900635,1,0,0,-0.001981465419021446,-1.9224742037179547,-0.3024197954056721,-0.09117627263094162,0.075,0.075
ace,relaxed,linear,0,5.886321067810059,6.453404426574707,4.109527587890625,7.966639041900635,0,0,0,-0.001981465419021446,-1.9224742037179547,-0.3024197954056721,-0.09117627263094162,0.11428571428571428,0.22857142857142856
bernina,demanding,playlist,0,6.759500980377197,5.2218732833862305,6.496495246887207,7.747781276702881,1,1,1,0.15673957705693436,0.9323472756491914,0.3666352487693064,-0.8160711752982511,0.05555555555555555,0.16666666666666666
bernina,relaxed,playlist,0,6.759500980377197,5.2218732833862305,6.496495246887207,7.747781276702881,0,1,1,0.15673957705693436,0.9323472756491914,0.3666352487693064,-0.8160711752982511,0.075,0.125
citroen,demanding,playlist,0,5.785449981689453,6.332826614379883,5.257134437561035,7.861231327056885,1,1,0,-0.17963854655416897,-1.075792299452915,-0.5766375254085045,0.3580651219242372,0.1111111111111111,0.16666666666666666
citroen,relaxed,playlist,0,5.785449981689453,6.332826614379883,5.257134437561035,7.861231327056885,0,1,0,-0.17963854655416897,-1.075792299452915,-0.5766375254085045,0.3580651219242372,0.125,0.175
fiorentini,demanding,linear,0,7.197010517120361,7.041037559509277,6.49030065536499,8.217696189880371,1,0,0,2.7012644800081738,-0.014365114060948647,0.25364461252519616,-0.3280475745089713,0.025,0.1
fiorentini,relaxed,linear,0,7.197010517120361,7.041037559509277,6.49030065536499,8.217696189880371,0,0,0,2.7012644800081738,-0.014365114060948647,0.25364461252519616,-0.3280475745089713,0.05714285714285714,0.3142857142857143
garofalo,demanding,linear,0,6.11377477645874,4.88062858581543,6.430487632751465,7.392757892608643,1,0,0,-1.4414751304147102,0.9447609541236137,0.23356443666347582,-0.0923768938429682,0.1,0.15
garofalo,relaxed,linear,0,6.11377477645874,4.88062858581543,6.430487632751465,7.392757892608643,0,0,0,-1.4414751304147102,0.9447609541236137,0.23356443666347582,-0.0923768938429682,0.17142857142857143,0.2857142857142857
hai-assicurazione,demanding,linear,0,5.740926742553711,6.3439764976501465,1.9186794757843018,7.670848369598389,1,0,1,-1.1809651307836833,-3.1813591183702816,0.7609869309727351,-0.22977911276407173,0.0,0.0
hai-assicurazione,relaxed,linear,0,5.740926742553711,6.3439764976501465,1.9186794757843018,7.670848369598389,0,0,1,-1.1809651307836833,-3.1813591183702816,0.7609869309727351,-0.22977911276407173,0.02857142857142857,0.02857142857142857
melinda,demanding,playlist,1,6.2286224365234375,6.0477728843688965,6.500405311584473,7.87640905380249,1,1,0,0.3659467875677657,0.13747306388946767,-0.4534731951984713,0.09577609540692995,0.027777777777777776,0.027777777777777776
